stop,type,population
"Erlinsbach, Steinenbach",Bus,0
"Erlinsbach, Stüsslingerstrasse",Bus,0
"Erlinsbach, Kilbig",Bus,0
"Erlinsbach, Dägermoos",Bus,0
"Erlinsbach, Plattenstrasse",Bus,0
"Erlinsbach, Rössli",Bus,0
Laurenzenbad,Bus,0
"Hard, Abzw.",Bus,0
Salhöhe,Bus,0
Barmelweid,Bus,0
"Kienberg, Hirschen",Bus,0
"Kienberg, Kreuz",Bus,0
"Bonstetten-Wettswil, Bahnhof",Bus,0
"Bonstetten, Lärchenhof",Bus,0
"Wettswil a.A., Grund",Bus,0
"Bonstetten, Dorfstrasse",Bus,0
"Wettswil a.A., Schachenbach",Bus,0
"Bonstetten, Chrüzacher",Bus,0
