,stop,type
711,"Wettingen, Kloster",Bus
712,"Neuenhof, Landhaus",Bus
713,"Baden, Segelhof",Bus
714,"Neuenhof, Posthorn",Bus
715,"Neuenhof, Kirchfeld",Bus
716,"Killwangen, Mühlehalde",Bus
717,"Ennetbaden, Schiefe Brücke",Bus
718,"Baden, Thermalbaden",Bus
719,"Ennetbaden, Gemeindehaus",Bus
720,"Ennetbaden, Goldwand",Bus
721,"Baden, Langmatt",Bus
722,"Ennetbaden, Kirche",Bus
723,"Rieden AG, Oederlin",Bus
724,"Rieden AG, Alte Landstrasse",Bus
725,"Nussbaumen AG, Markthof",Bus
726,"Nussbaumen AG, Landschreiber",Bus
727,"Kirchdorf AG, Aesch",Bus
728,"Kirchdorf AG, Landstrasse",Bus
729,"Kirchdorf AG, Dorf",Bus
730,"Untersiggenthal, Schönegg",Bus
731,"Untersiggenthal, Spiracher",Bus
732,"Untersiggenthal, Gemeindehaus",Bus
733,"Untersiggenthal, Hölzli",Bus
734,"Untersiggenthal, Mühleweg",Bus
735,"Siggenthal-W., Bahnh./Hauptstr",Bus
736,"Siggenthal-W., Bahnhof",Bus
737,"Würenlingen, Weissenstein",Bus
738,"Aarau Rohr, Unterdorf",Bus
739,"Aarau Rohr, Gemeindehaus",Bus
740,"Aarau Rohr, Rigistrasse",Bus
741,"Aarau Rohr, Quellhölzli",Bus
742,"Erlinsbach, Sugen",Bus
743,"Erlinsbach, Dorfplatz",Bus
744,"Erlinsbach, Steinenbach",Bus
745,"Erlinsbach, Stüsslingerstrasse",Bus
746,"Erlinsbach, Kilbig",Bus
747,"Erlinsbach, Dägermoos",Bus
748,"Erlinsbach, Plattenstrasse",Bus
749,"Erlinsbach, Rössli",Bus
750,Laurenzenbad,Bus
751,"Hard, Abzw.",Bus
752,Salhöhe,Bus
753,Barmelweid,Bus
754,"Kienberg, Hirschen",Bus
755,"Kienberg, Kreuz",Bus
756,"Bonstetten-Wettswil, Bahnhof",Bus
757,"Bonstetten, Lärchenhof",Bus
758,"Wettswil a.A., Grund",Bus
759,"Bonstetten, Dorfstrasse",Bus
760,"Wettswil a.A., Schachenbach",Bus
761,"Bonstetten, Chrüzacher",Bus
762,"Bonstetten, Isenbach",Bus
763,"Stallikon, Dorf",Bus
764,"Bonstetten, Sunnenberg",Bus
765,"Wettswil a.A., Moosstrasse",Bus
766,"Hedingen, Güpf",Bus
767,"Bonstetten, Lätten",Bus
768,"Bonstetten, Dorfplatz",Bus
769,"Stallikon, Bleiki",Bus
770,"Stallikon, Langfuren",Bus
771,"Hedingen, Hausacker",Bus
772,"Islisberg, Dorf",Bus
