,0,1
565,23-192-j18-1,Bus
566,79-192-j18-1,Bus
567,3-193-j18-1,Bus
568,20-193-j18-1,Bus
569,24-193-j18-1,Bus
570,79-193-j18-1,Bus
571,18-195-j18-1,Bus
572,30-19-Y-j18-1,Bus
573,40-19-Y-j18-1,Eurocity
574,59-19-Y-j18-1,InterRegio
575,66-19-Y-j18-1,Regionalzug
576,68-19-Y-j18-1,S-Bahn
577,79-19-Y-j18-1,RegioExpress
578,80-19-Y-j18-1,RegioExpress
579,30-1-Y-j18-1,Bus
580,32-1-Y-j18-1,Bus
581,33-1-Y-j18-1,Bus
582,40-1-Y-j18-1,Eurocity
583,42-1-Y-j18-1,Intercity
584,43-1-Y-j18-1,ICB
585,54-1-Y-j18-1,ICE
586,56-1-Y-j18-1,Railjet
587,57-1-Y-j18-1,TGV
588,59-1-Y-j18-1,InterRegio
589,60-1-Y-j18-1,InterRegio
590,63-1-Y-j18-1,Extrazug
591,64-1-Y-j18-1,Extrazug
592,66-1-Y-j18-1,Regionalzug
593,68-1-Y-j18-1,S-Bahn
594,69-1-Y-j18-1,S-Bahn
595,72-1-Y-j18-1,S-Bahn
596,74-1-Y-j18-1,RegioExpress
597,76-1-Y-j18-1,Schnellzug
598,77-1-Y-j18-1,RegioExpress
599,78-1-Y-j18-1,RegioExpress
600,79-1-Y-j18-1,RegioExpress
601,80-1-Y-j18-1,RegioExpress
602,81-1-Y-j18-1,RegioExpress
603,1-2-A-j18-1,Bus
604,1-2-j18-1,Bus
605,6-2-A-j18-1,Bus
606,6-2-B-j18-1,Bus
607,6-2-j18-1,S-Bahn
608,8-2-j18-1,Bus
609,11-2-A-j18-1,Bus
610,11-2-B-j18-1,S-Bahn
611,11-2-j18-1,Bus
612,12-2-A-j18-1,Bus
613,12-2-j18-1,Bus
614,16-2-j18-1,S-Bahn
615,18-2-A-j18-1,Bus
616,18-2-j18-1,S-Bahn
617,19-2-j18-1,Bus
618,20-2-A-j18-1,Bus
619,20-2-B-j18-1,Intercity
620,20-2-C-j18-1,Bus
621,20-2-D-j18-1,Bus
622,20-2-j18-1,Bus
623,21-2-j18-1,Bus
624,22-2-A-j18-1,Bus
625,22-2-j18-1,S-Bahn
626,23-2-j18-1,S-Bahn
627,24-2-j18-1,Bus
628,25-2-A-j18-1,Bus
629,25-2-B-j18-1,Bus
630,25-2-j18-1,S-Bahn
631,26-2-j18-1,S-Bahn
632,79-2-A-j18-1,Bus
633,79-2-B-j18-1,Bus
634,79-2-C-j18-1,S-Bahn
635,79-2-D-j18-1,Bus
636,79-2-E-j18-1,Bus
637,79-2-F-j18-1,Bus
638,79-2-j18-1,Bus
639,6-20-A-j18-1,Bus
640,6-20-j18-1,Bus
641,7-20-j18-1,Bus
642,8-20-j18-1,S-Bahn
643,12-20-j18-1,Bus
644,18-20-j18-1,Bus
645,20-20-j18-1,S-Bahn
646,21-200-j18-1,Bus
647,26-200-j18-1,Bus
648,8-201-j18-1,Bus
649,11-201-j18-1,Bus
650,23-201-j18-1,Bus
651,26-201-j18-1,Bus
652,79-201-A-j18-1,Bus
653,79-201-j18-1,Bus
654,8-202-j18-1,Bus
655,11-202-j18-1,Bus
656,21-202-j18-1,Bus
657,23-202-j18-1,Bus
658,79-202-j18-1,Bus
659,11-203-j18-1,Bus
660,16-203-j18-1,Bus
661,23-203-j18-1,Bus
662,79-203-A-j18-1,Bus
663,79-203-j18-1,Bus
664,79-204-j18-1,Bus
665,1-205-j18-1,Bus
666,16-205-j18-1,Bus
667,79-205-j18-1,Bus
668,16-206-j18-1,Bus
669,79-206-j18-1,Bus
670,23-207-j18-1,Bus
671,23-208-j18-1,Bus
672,23-209-j18-1,Bus
673,30-20-Y-j18-1,Bus
674,40-20-Y-j18-1,Eurocity
675,59-20-Y-j18-1,InterRegio
676,66-20-Y-j18-1,Regionalzug
677,68-20-Y-j18-1,S-Bahn
678,79-20-Y-j18-1,RegioExpress
679,80-20-Y-j18-1,RegioExpress
